team,fifa_name,fbref_squad_id,fbref_slug,fbref_stats_url,fbref_history_url,onefootball_slug,onefootball_team_id,onefootball_url,onefootball_status,notes
Argentina,Argentina,f9fddd6e,Argentina,https://fbref.com/en/squads/f9fddd6e/Argentina-Men-Stats,https://fbref.com/en/squads/f9fddd6e/history/Argentina-Men-Stats-and-History,argentina,55,https://onefootball.com/en/team/argentina-55,verified_http_200,
France,France,b1b36dcd,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,https://fbref.com/en/squads/b1b36dcd/history/France-Men-Stats-and-History,france,44,https://onefootball.com/en/team/france-44,verified_http_200,
England,England,1862c019,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,https://fbref.com/en/squads/1862c019/history/England-Men-Stats-and-History,england,61,https://onefootball.com/en/team/england-61,verified_search_api,
Spain,Spain,b561dd30,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,https://fbref.com/en/squads/b561dd30/history/Spain-Men-Stats-and-History,spain,34,https://onefootball.com/en/team/spain-34,verified_search_api,
Germany,Germany,c1e40422,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,https://fbref.com/en/squads/c1e40422/history/Germany-Men-Stats-and-History,germany,96,https://onefootball.com/en/team/germany-96,verified_search_api,
Brazil,Brazil,304635c3,Brazil,https://fbref.com/en/squads/304635c3/Brazil-Men-Stats,https://fbref.com/en/squads/304635c3/history/Brazil-Men-Stats-and-History,brazil,50,https://onefootball.com/en/team/brazil-50,verified_http_200,
Portugal,Portugal,4a1b4ea8,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,https://fbref.com/en/squads/4a1b4ea8/history/Portugal-Men-Stats-and-History,portugal,43,https://onefootball.com/en/team/portugal-43,verified_search_api,
Netherlands,Netherlands,5bb5024a,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,https://fbref.com/en/squads/5bb5024a/history/Netherlands-Men-Stats-and-History,netherlands,38,https://onefootball.com/en/team/netherlands-38,verified_search_api,
Japan,Japan,ffcf1690,Japan,https://fbref.com/en/squads/ffcf1690/Japan-Men-Stats,https://fbref.com/en/squads/ffcf1690/history/Japan-Stats,japan,52,https://onefootball.com/en/team/japan-52,verified_search_api,
United States,United States,0f66725b,United-States,https://fbref.com/en/squads/0f66725b/United-States-Men-Stats,https://fbref.com/en/squads/0f66725b/history/United-States-Men-Stats-and-History,united-states,81,https://onefootball.com/en/team/united-states-81,verified_search_api,
